cie.name,filepath,filename,input_filepath,ref,poledi,numper
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_ARPEGE_GOA2276_20241024.pdf,Lettre_avenant_2025_ARPEGE_GOA2276_20241024.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 ARPEGE GOA2276 20241024.pdf,15746,1574600000,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_ROEDERER_GOA2272_20241029.pdf,Lettre_avenant_2025_ROEDERER_GOA2272_20241029.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 ROEDERER GOA2272 20241029.pdf,15831,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_AAS_de_Cellulose_Strasbourg_Sracel_GOA2015_20241024.pdf,Lettre_avenant_2025_AAS_de_Cellulose_Strasbourg_Sracel_GOA2015_20241024.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 AAS de Cellulose Strasbourg Sracel GOA2015 20241024.pdf,20634,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_IRIAL_20241030.pdf,Lettre_avenant_2025_IRIAL_20241030.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 IRIAL 20241030.pdf,15519,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_GOA2279_20241029.pdf,Lettre_avenant_2025_GOA2279_20241029.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 GOA2279 20241029.pdf,15646,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_ARPEGE_GOA2277_20241024.pdf,Lettre_avenant_2025_ARPEGE_GOA2277_20241024.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 ARPEGE GOA2277 20241024.pdf,15746,1574600000,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_STAM_20241030.pdf,Lettre_avenant_2025_STAM_20241030.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 STAM 20241030.pdf,17100,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_SANTE_NR_PMSS_MG_S_20235500PAN_SACOR.pdf,REV_STD_LAVT_SANTE_NR_PMSS_MG_S_20235500PAN_SACOR.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_SANTE_NR_PMSS_MG-S-20235500PAN_SACOR.pdf,,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_PREV_MG_P_23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf,REV_STD_LAVT_PREV_MG_P_23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_PREV_MG-P-23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf,,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_SANTE_R_PMSS_MG_S_2012275S_TREVNAS_FLUVIAL.pdf,REV_STD_LAVT_SANTE_R_PMSS_MG_S_2012275S_TREVNAS_FLUVIAL.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_SANTE_R_PMSS_MG-S-2012275S_TREVNAS_FLUVIAL.pdf,,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_SANTE_R_PMSS_MG_S_20235300PAM_SACOR.pdf,REV_STD_LAVT_SANTE_R_PMSS_MG_S_20235300PAM_SACOR.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_SANTE_R_PMSS_MG-S-20235300PAM_SACOR.pdf,,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_SANTE_R_PMSS_MG_S_20180742T_ECOSEC.pdf,REV_STD_LAVT_SANTE_R_PMSS_MG_S_20180742T_ECOSEC.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_SANTE_R_PMSS_MG-S-20180742T_ECOSEC.pdf,,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_SANTE_R_PMSS_MG_S_2012274S_TREVNAS_FLUVIAL.pdf,REV_STD_LAVT_SANTE_R_PMSS_MG_S_2012274S_TREVNAS_FLUVIAL.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_SANTE_R_PMSS_MG-S-2012274S_TREVNAS_FLUVIAL.pdf,,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_PREV_MG_P_23394400MAP_FABRICATION_ET_MONTAGE_DE.pdf,REV_STD_LAVT_PREV_MG_P_23394400MAP_FABRICATION_ET_MONTAGE_DE.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_PREV_MG-P-23394400MAP_FABRICATION_ET_MONTAGE_DE.pdf,,,
AXA,/home/c24b/projects/avenants/DOCS/STIEBEL_ELTRON_2843891400051_1.pdf,STIEBEL_ELTRON_2843891400051_1.pdf,./avenants_input/AXA/TIR/AVT/STIEBEL ELTRON_2843891400051_1.pdf,2843891400051A98,,
AXA,/home/c24b/projects/avenants/DOCS/SIRMAT_2842454609001_1.pdf,SIRMAT_2842454609001_1.pdf,./avenants_input/AXA/TIR/AVT/SIRMAT_2842454609001_1.pdf,2842454609001Y98,2842454609001Y98,8426580
AXA,/home/c24b/projects/avenants/DOCS/PIETRAPAOLI_2251229100160_1.pdf,PIETRAPAOLI_2251229100160_1.pdf,./avenants_input/AXA/TIR/AVT/PIETRAPAOLI_2251229100160_1.pdf,2251229100160U26,,
AXA,/home/c24b/projects/avenants/DOCS/AVT_CP_ANCREST_2263442630001_1_5687175.pdf,AVT_CP_ANCREST_2263442630001_1_5687175.pdf,./avenants_input/AXA/TIR/AVT/AVT CP ANCR'EST_2263442630001_1 5687175.pdf,2263442630001J43,2263442630001J43,
