cie.name,filepath,filename,input_filepath,ref,poledi,numper
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_ARPEGE_GOA2276_20241024.pdf,Lettre_avenant_2025_ARPEGE_GOA2276_20241024.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 ARPEGE GOA2276 20241024.pdf,15746,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_ROEDERER_GOA2272_20241029.pdf,Lettre_avenant_2025_ROEDERER_GOA2272_20241029.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 ROEDERER GOA2272 20241029.pdf,15831,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_AAS_de_Cellulose_Strasbourg_Sracel_GOA2015_20241024.pdf,Lettre_avenant_2025_AAS_de_Cellulose_Strasbourg_Sracel_GOA2015_20241024.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 AAS de Cellulose Strasbourg Sracel GOA2015 20241024.pdf,20634,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_IRIAL_20241030.pdf,Lettre_avenant_2025_IRIAL_20241030.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 IRIAL 20241030.pdf,15519,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_GOA2279_20241029.pdf,Lettre_avenant_2025_GOA2279_20241029.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 GOA2279 20241029.pdf,15646,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_ARPEGE_GOA2277_20241024.pdf,Lettre_avenant_2025_ARPEGE_GOA2277_20241024.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 ARPEGE GOA2277 20241024.pdf,15746,,
HENNER,/home/c24b/projects/avenants/DOCS/Lettre_avenant_2025_STAM_20241030.pdf,Lettre_avenant_2025_STAM_20241030.pdf,./avenants_input/HENNER/AVT/Lettre-avenant 2025 STAM 20241030.pdf,17100,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_SANTE_NR_PMSS_MG_S_20235500PAN_SACOR.pdf,REV_STD_LAVT_SANTE_NR_PMSS_MG_S_20235500PAN_SACOR.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_SANTE_NR_PMSS_MG-S-20235500PAN_SACOR.pdf,MG/S/20235500PAN,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_PREV_MG_P_23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf,REV_STD_LAVT_PREV_MG_P_23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_PREV_MG-P-23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf,MG/P/23303400MAP,,
MUTUELLE GENERALE,/home/c24b/projects/avenants/DOCS/REV_STD_LAVT_SANTE_R_PMSS_MG_S_2012275S_TREVNAS_FLUVIAL.pdf,REV_STD_LAVT_SANTE_R_PMSS_MG_S_2012275S_TREVNAS_FLUVIAL.pdf,./avenants_input/LMG/AVT/REV_STD_LAVT_SANTE_R_PMSS_MG-S-2012275S_TREVNAS_FLUVIAL.pdf,MG/S/2012275S,,
