filename;ref;poledi;numper;cie.name;trouvé dans le document;trouvé dans la base;OK ou KO;Commentaire
Lettre_avenant_2025_ARPEGE_GOA2276_20241024.pdf;15746/115;;;HENNER;VRAI;FAUX;KO;
Lettre_avenant_2025_ROEDERER_GOA2272_20241029.pdf;15831;;;HENNER;VRAI;FAUX;KO;
Lettre_avenant_2025_AAS_de_Cellulose_Strasbourg_Sracel_GOA2015_20241024.pdf;20634;;;HENNER;VRAI;FAUX;KO;
Lettre_avenant_2025_IRIAL_20241030.pdf;15519;1551900102;7775858;HENNER;VRAI;VRAI;OK;
Lettre_avenant_2025_GOA2279_20241029.pdf;15646;;;HENNER;VRAI;FAUX;KO;
Lettre_avenant_2025_ARPEGE_GOA2277_20241024.pdf;15746;1574600000;7881876;HENNER;VRAI;VRAI;OK;
Lettre_avenant_2025_STAM_20241030.pdf;17100;1710000148;7932749;HENNER;VRAI;VRAI;OK;
REV_STD_LAVT_SANTE_NR_PMSS_MG_S_20235500PAN_SACOR.pdf;MG/S/20235500PAN;;;MUTUELLE GENERALE;VRAI;FAUX;KO;
REV_STD_LAVT_PREV_MG_P_23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf;MG/P/23303400MAP;MG/P/23303400MAP;9121816;MUTUELLE GENERALE;VRAI;VRAI;OK;
REV_STD_LAVT_SANTE_R_PMSS_MG_S_20235300PAM_SACOR.pdf;MG/S/20235300PAM;MG/S/20235300PAM;9172989;MUTUELLE GENERALE;VRAI;VRAI;OK;
REV_STD_LAVT_PREV_MG_P_23394400MAP_FABRICATION_ET_MONTAGE_DE.pdf;MG/P/23394400MAP;MG/P/23394400MAP;9121815;MUTUELLE GENERALE;VRAI;VRAI;OK;
STIEBEL_ELTRON_2843891400051_1.pdf;2,84389E+12;;;AXA;VRAI;FAUX;KO;
SIRMAT_2842454609001_1.pdf;2,84245E+12;2842454609001Y98;8426580;AXA;VRAI;VRAI;OK;
PIETRAPAOLI_2251229100160_1.pdf;2,25123E+12;;;AXA;VRAI;FAUX;KO;
AVT_CP_ANCREST_2263442630001_1_5687175.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
ALSACE_CONDITIONNEMENT_2845379410065_1.pdf;2,84538E+12;;;AXA;VRAI;FAUX;KO;
ELECTRO_MENAGER_2268734100000_1.pdf;2,26873E+12;2268734100000J47;6941291;AXA;VRAI;VRAI;OK;
PARENTHESE_2263549420400_1.pdf;2,26355E+12;2,26E+23;7142927;AXA;VRAI;VRAI;OK;
H_COMM_2507759780001_1.pdf;2,50776E+12;2507759780001Z11;6054526;AXA;VRAI;VRAI;OK;
RECYBIO_2841491600751_1.pdf;2,84149E+12;2841491600751A98;8426681;AXA;VRAI;VRAI;OK;
LUDWILLER_2271794410400_1.pdf;2,27179E+12;2271794410400G47;8220367;AXA;VRAI;VRAI;OK;
AVT_ADIT_2259939110000_1_5179757.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
ALSACE_CONDITIONNEMENT_2845379410063_1.pdf;2,84538E+12;;;AXA;VRAI;FAUX;KO;
CAFES_SATI_2272479600003_1.pdf;2,27248E+12;2272479600003P47;8086354;AXA;VRAI;VRAI;OK;
TRANSPORTS_PMS_2515307550000_1.pdf;2,51531E+12;;;AXA;VRAI;FAUX;KO;
ETS_CHARLES_COUTIER_2275103100000_1.pdf;2,2751E+12;2275103100000V19;8510792;AXA;VRAI;VRAI;OK;
RECYBIO_2257752110700_1.pdf;2,25775E+12;2257752110700S11;7291611;AXA;VRAI;VRAI;OK;
CASTOR_INVEST_2308939000100_1.pdf;2,30894E+12;;;AXA;VRAI;FAUX;KO;
FIDUCIAIRE_DE_REVISION_2512267011000_1.pdf;2,51227E+12;2512267011000D11;5531438;AXA;VRAI;VRAI;OK;
LJL_SAS_2256423110000_1.pdf;2,25642E+12;2256423110000P11;9208070;AXA;VRAI;VRAI;OK;
SAM_LE_HAVRE_2312843000000_1.pdf;2,31284E+12;;;AXA;VRAI;FAUX;KO;
EBK_2313225020000_1.pdf;2,31323E+12;2313225020000L98;7850479;AXA;VRAI;VRAI;OK;
HERLI_2263163420000_1.pdf;2,26316E+12;2263163420000C47;7728005;AXA;VRAI;VRAI;OK;
AVT_CP_VOB_2265716400000_1_6568142.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AFCE_FORMATION_2275781400000_1.pdf;2,27578E+12;2,28E+31;8079915;AXA;VRAI;VRAI;OK;
KAP_33_2512704051001_1.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_ACOUSTIQUE_INDUSTRIELLE_2263898120300_1_8810363.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_CP_BEREST_LORRAINE_2263549420300_1_5966833.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
JET_SYSTEMS_HELICOPTERES_2264025100000_1.pdf;2,26403E+12;2264025100000Y50;6156718;AXA;VRAI;VRAI;OK;
AVT_AXIA_1_2275176100010_1_7929822.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
SCHROLL_2257752420062_1.pdf;2,25775E+12;;;AXA;VRAI;FAUX;KO;
AVT_CP_BEREST_BOURGOGNE_2263549430201_1_5966786.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
ALSAPAN_2840785140000_1.pdf;2,84079E+12;2,84E+31;8277799;AXA;VRAI;VRAI;OK;
AVT_ACOUSTIQUE_INDUSTRIELLE_2263898110300_1_8810438.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
ELITT_2263281400000_1.pdf;2,26328E+12;2263281400000H43;5771694;AXA;VRAI;VRAI;OK;
J.LOHMULLER_2271794610501_1.pdf;2,27179E+12;2271794610501H47;7329113;AXA;VRAI;VRAI;OK;
AVT_CP_B_S_RECYCLAGE_2841491600901_1__8.426.695_.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
DIAMONDE_2840785140300_1.pdf;2,84079E+12;2840785140300F19;8280570;AXA;VRAI;VRAI;OK;
ANTIGONE_SARL_2258675400010_1.pdf;2,25868E+12;;;AXA;VRAI;FAUX;KO;
BELLANGER_2313098000100_1.pdf;2,3131E+12;2313098000100C19;7495328;AXA;VRAI;VRAI;OK;
SIRMAT_2842454600065_1.pdf;2,84245E+12;;;AXA;VRAI;FAUX;KO;
AVT_WEBSILOR_2261270100100_1_8666978_.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_CP_ALLIANCE_PRO_ENERGIES_2271794400300_1_7329064.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
DOCARINA_2312833020000_1.pdf;2,31283E+12;;;AXA;VRAI;FAUX;KO;
LORTEL_EST_CABLES_2261270100000_1.pdf;2,26127E+12;;;AXA;VRAI;FAUX;KO;
KAYME_2256420310001_1.pdf;2,25642E+12;;;AXA;VRAI;FAUX;KO;
LOREX_2268504600001_1.pdf;2,2685E+12;2268504600001N11;7022878;AXA;VRAI;VRAI;OK;
NOUNOUS_ET_MERVEILLES_2261921400300_1.pdf;2,26192E+12;2261921400300P95;5612969;AXA;VRAI;VRAI;OK;
ALSACE_CONDITIONNEMENT_2845379410060_1.pdf;2,84538E+12;2845379410060J98;9182816;AXA;VRAI;VRAI;OK;
PALETTES_GESTION_SERVICES_2842057100000_1.pdf;2,84206E+12;2842057100000W19;8376813;AXA;VRAI;VRAI;OK;
ESL__NETWORK_FRANCE_2511949050000_1.pdf;2,51195E+12;2511949050000V;8519509;AXA;VRAI;VRAI;OK;
AFCE_FORMATION_2275781410000_1.pdf;2,27578E+12;2275781410000Z50;8079998;AXA;VRAI;VRAI;OK;
ASSOCIATION_SYNDICALE_CEN_2259051440000_1.pdf;2,25905E+12;2259051440000Z95;5723667;AXA;VRAI;VRAI;OK;
ORA_DEVELOPPEMENT_2261659400000_1.pdf;2,26166E+12;2,26E+107;5504495;AXA;VRAI;VRAI;OK;
SIRMAT_2842454419051_1.pdf;2,84245E+12;;;AXA;VRAI;FAUX;KO;
HYPERTAPIS_2275106100200_1.pdf;2,27511E+12;2275106100200H19;8003659;AXA;VRAI;VRAI;OK;
RGR_2258659110000_1.pdf;2,25866E+12;2258659110000W42;9351859;AXA;VRAI;VRAI;OK;
SARDI_2841491620401_1.pdf;2,84149E+12;2841491620401J19;9182522;AXA;VRAI;VRAI;OK;
F_GESTION_2511613020000_1.pdf;2,51161E+12;;;AXA;VRAI;FAUX;KO;
L_OFFRE_PORTAGE_2270829610201_1.pdf;2,27083E+12;2270829610201N43;7744802;AXA;VRAI;VRAI;OK;
AVT_AXIA_8_2275176110080_1_7930131.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_CENT_FAMILLES_LAHAYE_2261650100300_1_6532486.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
ECOFLUIDE_2263300430000_1.pdf;2,2633E+12;2263300430000Q41;5785759;AXA;VRAI;VRAI;OK;
NEUTRALIS_2841491600601_1.pdf;2,84149E+12;2841491600601M50;8426672;AXA;VRAI;VRAI;OK;
AVT_CP_WOERNER_GMBH_2712482001700_1_5115792.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
ALSACE_CONDITIONNEMENT_2845379410052_1.pdf;2,84538E+12;2845379410052A95;9182707;AXA;VRAI;VRAI;OK;
PHARMACIE_HEILIGENSTEIN_2312865000200_1.pdf;2,31287E+12;2312865000200R19;1330027;AXA;VRAI;VRAI;OK;
SOCIETE_DES_MAGASINS_ECON_2263747100000_1.pdf;2,26375E+12;2263747100000K47;6154660;AXA;VRAI;VRAI;OK;
FRANDEMAR_2251229100000_1.pdf;2,25123E+12;;;AXA;VRAI;FAUX;KO;
LA_CYMAISE___LOUVENCOURT_2006003179610_1.pdf;2,006E+12;2006003179610D19;5695327;AXA;VRAI;VRAI;OK;
AVT_CP_BEREST_LORRAINE_2263549620301_1_5966885.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
MAISON_DE_LA_NOUVELLE_2265875400010_1.pdf;2,26588E+12;;;AXA;VRAI;FAUX;KO;
PGS_SUD_OUEST_2842057111200_1.pdf;2,84206E+12;2842057111200V50;8376886;AXA;VRAI;VRAI;OK;
LUDWILLER_2271794610401_1.pdf;2,27179E+12;2271794610401Z47;7328973;AXA;VRAI;VRAI;OK;
INSTITUT_DE_FORMATION_DU_2713034000000_1.pdf;2,71303E+12;2713034000000W95;9027317;AXA;VRAI;VRAI;OK;
SCHROLL_2257752430000_1.pdf;2,25775E+12;2257752430000H47;7875235;AXA;VRAI;VRAI;OK;
IMARE_2251229100060_1.pdf;2,25123E+12;;;AXA;VRAI;FAUX;KO;
ABRY_ARNOLD_2254585440001_1_FM_C_Option.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_CP_ARECO_2599772660000_1_5171718.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
CASTOR_INVEST_2308939000200_1.pdf;2,30894E+12;;;AXA;VRAI;FAUX;KO;
PARENTHESE_2263549430401_1.pdf;2,26355E+12;;;AXA;VRAI;FAUX;KO;
JEAN_AVIER_2510616640000_1.pdf;2,51062E+12;2510616640000G43;5094503;AXA;VRAI;VRAI;OK;
HERINDEL_2257622110100_1.pdf;2,25762E+12;2257622110100S11;9307996;AXA;VRAI;VRAI;OK;
AVT_CP_ARTENREEL_SARL_2258676400000_1_9159923.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_CP_CINQ_PLUS_SOULTZ_SOUS_2711100120570_1_5036643.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
BUREAUX_EUROPE_2263707410000_1_rÃ©siliÃ©.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
M.T.C._2310413027000_1.pdf;2,31041E+12;2,31041E+12;5695940;AXA;VRAI;VRAI;OK;
LUDWILLER_2271794400500_1.pdf;2,27179E+12;2271794400500V11;7328894;AXA;VRAI;VRAI;OK;
EST_ENTREPOT_CORGER_2983220400000_1.pdf;2,98322E+12;2983220400000M50;6223364;AXA;VRAI;VRAI;OK;
SIRMAT_2842454419052_1.pdf;2,84245E+12;2842454419052F98;5938610;AXA;VRAI;VRAI;OK;
RECOS_MACHINES_2257742440000_1.pdf;2,25774E+12;2257742440000M95;8007882;AXA;VRAI;VRAI;OK;
SKAYL_2271150610101_1.pdf;2,27115E+12;2271150610101Y16;7066941;AXA;VRAI;VRAI;OK;
RECOS_MACHINES_2257742640001_1.pdf;2,25774E+12;;;AXA;VRAI;FAUX;KO;
RECYBIO_2841491620701_1.pdf;2,84149E+12;2841491620701K19;8370564;AXA;VRAI;VRAI;OK;
RUJ_EXPANSION_2254585440100_1.pdf;2,25459E+12;2254585440100G11;9400781;AXA;VRAI;VRAI;OK;
MATERIELS_FERROVIAIRES_2712482002900_1.pdf;2,71248E+12;2712482002900Z95;6120555;AXA;VRAI;VRAI;OK;
LOREX_2268504610001_1.pdf;2,2685E+12;2268504610001H47;7023076;AXA;VRAI;VRAI;OK;
AVT_CP_CITRAVAL___CTRE_INDUST_TR_2257761100000_1_8716397.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
HTC_DEVELOPPEMENT_2840924400205_1.pdf;2,84092E+12;;;AXA;VRAI;FAUX;KO;
OFFICE_DU_TOURISME_DES_2959846100000_1.pdf;2,95985E+12;;;AXA;VRAI;FAUX;KO;
SCHROLL_2257752430008_1.pdf;2,25775E+12;;;AXA;VRAI;FAUX;KO;
SIRMAT_2842454400063_1.pdf;2,84245E+12;;;AXA;VRAI;FAUX;KO;
RECOSTRA_2257752431000_1.pdf;2,25775E+12;2257752431000U47;8231015;AXA;VRAI;VRAI;OK;
LABORATOIRES_BERNABEU_2258035410001_1.pdf;2,25804E+12;;;AXA;VRAI;FAUX;KO;
SIRMAT_2842454400013_1.pdf;2,84245E+12;;;AXA;VRAI;FAUX;KO;
AVT_CP_CINQ_PLUS_MOLSHEIM_2711100120520_1_5036636.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_COOPENATES_SARL_2258677110000_1_7738876.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
AVT_CP_CITRAVAL___CTRE_INDUST_2841491600551_1_8426665.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
SOFICO_FRANCE_2841058420050_1.pdf;2,84106E+12;2841058420050M19;9246061;AXA;VRAI;VRAI;OK;
YPO_CAMP_LOISIRS_2260338410301_1_ABS.pdf;;;;AXA;FAUX;FAUX;KO;Améliorer la detection
EUROPEAN_SCIENCE_2844016400050_1.pdf;2,84402E+12;2844016400050P95;9040570;AXA;VRAI;VRAI;OK;
JEANNIOT_GESTION_2260338410001_1.pdf;2,26034E+12;;;AXA;VRAI;FAUX;KO;
LOFFRE_PARTAGEE_2272411600002_1.pdf;2,27241E+12;2272411600002U16;8352697;AXA;VRAI;VRAI;OK;
POLISSA_2000148594710_1.pdf;2,00015E+12;2000148594710P19;5458480;AXA;VRAI;VRAI;OK;
PGS_NORD_2842057100900_1.pdf;2,84206E+12;2842057100900A19;8382326;AXA;VRAI;VRAI;OK;
