Détecté dans le texte;Nom du fichier;CIE_NAME;N° Contrat;N°POLEDI;NB_POLEDIS
True;Lettre_avenant_2025_ARPEGE_GOA2276_20241024.pdf;HENNER;15746/115;;0
True;Lettre_avenant_2025_ROEDERER_GOA2272_20241029.pdf;HENNER;15831;;0
True;Lettre_avenant_2025_AAS_de_Cellulose_Strasbourg_Sracel_GOA2015_20241024.pdf;HENNER;20634;;0
True;Lettre_avenant_2025_IRIAL_20241030.pdf;HENNER;15519;1551900102;31
True;Lettre_avenant_2025_GOA2279_20241029.pdf;HENNER;15646;;0
True;Lettre_avenant_2025_ARPEGE_GOA2277_20241024.pdf;HENNER;15746;1574600000;14
True;Lettre_avenant_2025_STAM_20241030.pdf;HENNER;17100;1710000148;40
True;REV_STD_LAVT_SANTE_NR_PMSS_MG_S_20235500PAN_SACOR.pdf;MUTUELLE GENERALE;MG/S/20235500PAN;;0
True;REV_STD_LAVT_PREV_MG_P_23303400MAP_FABRICATION_ET_MONTAGE_DE.pdf;MUTUELLE GENERALE;MG/P/23303400MAP;MG/P/23303400MAP;1
True;REV_STD_LAVT_SANTE_R_PMSS_MG_S_20235300PAM_SACOR.pdf;MUTUELLE GENERALE;MG/S/20235300PAM;MG/S/20235300PAM;1
True;REV_STD_LAVT_PREV_MG_P_23394400MAP_FABRICATION_ET_MONTAGE_DE.pdf;MUTUELLE GENERALE;MG/P/23394400MAP;MG/P/23394400MAP;1
True;STIEBEL_ELTRON_2843891400051_1.pdf;AXA;2843891400051;;0
True;SIRMAT_2842454609001_1.pdf;AXA;2842454609001;2842454609001Y98;1
True;PIETRAPAOLI_2251229100160_1.pdf;AXA;2251229100160;;0
False;AVT_CP_ANCREST_2263442630001_1_5687175.pdf;AXA;;;0
True;ALSACE_CONDITIONNEMENT_2845379410065_1.pdf;AXA;2845379410065;;0
True;ELECTRO_MENAGER_2268734100000_1.pdf;AXA;2268734100000;2268734100000J47;2
True;PARENTHESE_2263549420400_1.pdf;AXA;2263549420400;2263549420400E11;2
True;H_COMM_2507759780001_1.pdf;AXA;2507759780001;2507759780001Z11;2
True;RECYBIO_2841491600751_1.pdf;AXA;2841491600751;2841491600751A98;1
True;LUDWILLER_2271794410400_1.pdf;AXA;2271794410400;2271794410400G47;2
False;AVT_ADIT_2259939110000_1_5179757.pdf;AXA;;;0
True;ALSACE_CONDITIONNEMENT_2845379410063_1.pdf;AXA;2845379410063;;0
True;CAFES_SATI_2272479600003_1.pdf;AXA;2272479600003;2272479600003P47;2
True;TRANSPORTS_PMS_2515307550000_1.pdf;AXA;2515307550000;;0
True;ETS_CHARLES_COUTIER_2275103100000_1.pdf;AXA;2275103100000;2275103100000V19;5
True;RECYBIO_2257752110700_1.pdf;AXA;2257752110700;2257752110700S11;2
True;CASTOR_INVEST_2308939000100_1.pdf;AXA;2308939000100;;0
True;FIDUCIAIRE_DE_REVISION_2512267011000_1.pdf;AXA;2512267011000;2512267011000D11;1
True;LJL_SAS_2256423110000_1.pdf;AXA;2256423110000;2256423110000P11;3
True;SAM_LE_HAVRE_2312843000000_1.pdf;AXA;2312843000000;;0
True;EBK_2313225020000_1.pdf;AXA;2313225020000;2313225020000L98;2
True;HERLI_2263163420000_1.pdf;AXA;2263163420000;2263163420000C47;2
False;AVT_CP_VOB_2265716400000_1_6568142.pdf;AXA;;;0
True;AFCE_FORMATION_2275781400000_1.pdf;AXA;2275781400000;2275781400000E19;4
False;KAP_33_2512704051001_1.pdf;AXA;;;0
False;AVT_ACOUSTIQUE_INDUSTRIELLE_2263898120300_1_8810363.pdf;AXA;;;0
False;AVT_CP_BEREST_LORRAINE_2263549420300_1_5966833.pdf;AXA;;;0
True;JET_SYSTEMS_HELICOPTERES_2264025100000_1.pdf;AXA;2264025100000;2264025100000Y50;2
